2021-02-24 00:10:04,966 [INFO ] - [OnSessionStarted] session(20285a15-1d64-4e18-adbb-626c3d6e26e7))
2021-02-24 00:10:39,854 [INFO ] - [projectile] created...
2021-02-24 00:10:53,197 [INFO ] - [projectile x[17.50703], y[19.71503]
2021-02-24 00:10:53,197 [INFO ] - [projectile x[17.8055], y[20.27637]
2021-02-24 00:10:53,299 [INFO ] - [projectile x[18.10397], y[20.83772]
2021-02-24 00:10:53,299 [INFO ] - [projectile x[18.39981], y[21.39412]
2021-02-24 00:10:53,300 [INFO ] - [projectile x[18.69566], y[21.95053]
2021-02-24 00:10:53,300 [INFO ] - [projectile x[18.9915], y[22.50693]
2021-02-24 00:10:53,301 [INFO ] - [projectile x[19.28735], y[23.06334]
2021-02-24 00:10:53,419 [INFO ] - [projectile x[19.58319], y[23.61975]
2021-02-24 00:10:53,419 [INFO ] - [projectile x[19.92127], y[24.25559]
2021-02-24 00:10:53,421 [INFO ] - [projectile x[20.25936], y[24.89143]
2021-02-24 00:10:53,421 [INFO ] - [projectile x[20.59744], y[25.52728]
2021-02-24 00:10:53,422 [INFO ] - [projectile x[20.93552], y[26.16312]
2021-02-24 00:10:53,524 [INFO ] - [projectile x[21.27361], y[26.79896]
2021-02-24 00:10:53,524 [INFO ] - [projectile x[21.57058], y[27.35748]
2021-02-24 00:10:53,526 [INFO ] - [projectile x[21.86754], y[27.91599]
2021-02-24 00:10:53,526 [INFO ] - [projectile x[22.16451], y[28.47451]
2021-02-24 00:10:53,526 [INFO ] - [projectile x[22.46148], y[29.03302]
2021-02-24 00:10:53,630 [INFO ] - [projectile x[22.75845], y[29.59154]
2021-02-24 00:10:53,630 [INFO ] - [projectile x[23.0551], y[30.14946]
2021-02-24 00:10:53,633 [INFO ] - [projectile x[23.35175], y[30.70738]
2021-02-24 00:10:53,633 [INFO ] - [projectile x[23.64841], y[31.2653]
2021-02-24 00:10:53,634 [INFO ] - [projectile x[23.94506], y[31.82322]
2021-02-24 00:10:53,750 [INFO ] - [projectile x[24.24171], y[32.38114]
2021-02-24 00:10:53,750 [INFO ] - [projectile x[24.5804], y[33.01812]
2021-02-24 00:10:53,751 [INFO ] - [projectile x[24.91908], y[33.65511]
2021-02-24 00:10:53,751 [INFO ] - [projectile x[25.25777], y[34.29209]
